comune,num_residenti,P
Flumeri,3022.0,0.0003220034024528945
Santa Cristina Valgardena,1885.0,0.00020085255248964464
Caerano di San Marco,8025.0,0.0008550884529068426
Polizzi Generosa,3543.0,0.00037751755621793685
Tione di Trento,3595.0,0.0003830583162866167
Sellano,1126.0,0.00011997876610256757
Monte Roberto,3037.0,0.00032360169862655214
Concamarise,1088.0,0.00011592974912930153
Montepulciano,14180.0,0.001510922649497698
Cloz,726.0,7.735753480503024e-05
Pozzonovo,3618.0,0.0003855090370862251
Gricignano di Aversa,11087.0,0.0011813539784894908
Cafasse,3509.0,0.0003738947515576462
Decimoputzu,4372.0,0.00046585005808208295
Satriano di Lucania,2406.0,0.000256366706254687
Brenta,1803.0,0.0001921152000736495
Lurago d'Erba,5390.0,0.0005743210917343155
Nerola,1886.0,0.00020095910556788848
Motteggiana,2588.0,0.0002757593664950665
Sant'Eufemia d'Aspromonte,4041.0,0.0004305809891833708
Binago,4737.0,0.0005047419316410857
Castelnuovo Bocca d'Adda,1647.0,0.00017549291986760992
Pomaretto,1067.0,0.00011369213448618081
Seminara,2902.0,0.0003092170330636333
Aquino,5280.0,0.0005626002531274927
Alcamo,45095.0,0.004805011063406114
Alessandria del Carretto,506.0,5.3915857591384715e-05
Canelli,10580.0,0.0011273315678198622
Scurelle,1440.0,0.00015343643267113437
Medolago,2352.0,0.00025061284002951946
Vallelaghi,5044.0,0.0005374537266619457
Barcellona Pozzo di Gotto,41450.0,0.004416625093207305
Bitti,3005.0,0.00032019200012274916
Sulmona,24336.0,0.002593075712142171
Reggio nell'Emilia,163928.0,0.017467033010356747
San Fele,3106.0,0.00033095386102537734
Portobuffole,797.0,8.492280336034312e-05
Sospirolo,3223.0,0.00034342057117990696
Colletorto,2063.0,0.00021981900041704875
Villasimius,3439.0,0.00036643603608057715
Cadelbosco di Sopra,10510.0,0.0011198728523427932
Pizzoli,4144.0,0.00044155595624248667
Livigno,6014.0,0.0006408102125584737
Sappada,1306.0,0.00013915832018645936
Monterosso Calabro,1781.0,0.00018977103235228492
Sant'Elia Fiumerapido,6270.0,0.0006680878005888975
San Pietro di Morubio,3045.0,0.0003244541232525029
Merano,37791.0,0.0040267473799130826
Gallicano,3877.0,0.0004131062843513805
Tora e Piccilli,947.0,0.00010090576509691961
Vescovana,1799.0,0.00019168898776067411
Fasano,39431.0,0.004201494428232986
Chiusaforte,684.0,7.288230551878883e-05
Cazzago San Martino,11034.0,0.0011757066653425672
Ocre,1133.0,0.00012072463765027447
Scheggia e Pascelupo,1426.0,0.00015194468957572055
Caselle Landi,1660.0,0.0001768781098847799
Bastia Umbra,21965.0,0.0023404383636260184
Cadegliano-Viconago,1996.0,0.00021267994417471125
Monterosso al Mare,1473.0,0.00015695268425318119
Cimitile,7199.0,0.000767075610277428
Novaledo,1050.0,0.00011188073215603547
Giarole,730.0,7.778374711800562e-05
Valtorta,290.0,3.090039269071456e-05
Cissone,85.0,9.057011650726682e-06
Cuneo,55697.0,0.005934686798947341
Caprie,2113.0,0.00022514665432924093
Villalba,1690.0,0.00018007470223209518
Arcola,10286.0,0.0010960049628161723
Presenzano,1738.0,0.00018518924998779969
Claut,971.0,0.00010346303897477185
Ostra,6780.0,0.0007224298704932577
Samugheo,3149.0,0.0003355356433898626
Casabona,2802.0,0.00029856172523924895
Faule,490.0,5.221100833948322e-05
San Michele Salentino,6359.0,0.0006775710245525996
Arcinazzo Romano,1333.0,0.00014203525329904314
Rocca d'Arazzo,959.0,0.00010218440203584573
Lusciano,15296.0,0.0016298358848178273
Bucine,10128.0,0.001079169576453645
San Pietro in Amantea,505.0,5.380930451314087e-05
Prezza,996.0,0.00010612686593086794
Calimera,7261.0,0.0007736819011285463
Sestola,2545.0,0.00027117758413058125
Diano Marina,6077.0,0.0006475230564878358
Loria,9173.0,0.0009774113867307747
Turrivalignani,896.0,9.54715581064836e-05
Locana,1587.0,0.00016909973517297933
Verrone,1282.0,0.00013660104630860712
San Floro,704.0,7.501336708366569e-05
Roccasicura,547.0,5.828453379938229e-05
Sanluri,8429.0,0.0008981358965173552
Marcon,16593.0,0.001768035227300092
Frugarolo,2023.0,0.00021555687728729502
Pessina Cremonese,660.0,7.032503164093659e-05
Buglio in Monte,2140.0,0.00022802358744182467
Aviano,9085.0,0.0009680347158453165
Abano Terme,19769.0,0.0021064478038025384
Castelguidone,395.0,4.2088465906318104e-05
Noli,2776.0,0.00029579134520490904
Paderno Ponchielli,1468.0,0.00015641991886196198
Pove del Grappa,3098.0,0.0003301014363994266
Crespano del Grappa,4663.0,0.0004968570038510413
San Cipirello,5461.0,0.0005818863602896283
Filighera,851.0,9.067666958551065e-05
Villa Estense,2306.0,0.00024571139843030266
San Nicolo Gerrei,828.0,8.822594878590226e-05
Cefala Diana,1017.0,0.00010836448057398865
Isola delle Femmine,7190.0,0.0007661166325732334
Bovisio-Masciago,16712.0,0.0017807150436111093
Chiusa,5171.0,0.0005509859675989138
Filandari,1854.0,0.0001975494070640855
Aquara,1552.0,0.0001653703774344448
Sala Baganza,5531.0,0.0005893450757666973
Viadanica,1099.0,0.0001171018329899838
Capistrano,1072.0,0.00011422489987740002
Ficarazzi,11752.0,0.0012522117755216465
San Felice a Cancello,17141.0,0.0018264263141777183
Villafranca Piemonte,4838.0,0.000515503792543714
Palata,1762.0,0.00018774652386565192
Olgiate Olona,12310.0,0.0013116683931817111
Borgomezzavalle,317.0,3.3777325803298327e-05
Lucoli,1058.0,0.00011273315678198622
Brezzo di Bedero,1203.0,0.0001281833531273435
Calvi Risorta,5759.0,0.0006136391776062936
Montagano,1147.0,0.00012221638074568828
Traversella,354.0,3.771978969832053e-05
Gradoli,1436.0,0.000153010220358159
Pontelandolfo,2264.0,0.00024123616914406126
Oyace,217.0,2.3122017978913998e-05
Pila,143.0,1.5237090188869593e-05
Alliste,6676.0,0.0007113483503558979
Gussago,16490.0,0.001757060260240976
Colle d'Anchise,808.0,8.60948872210254e-05
Mongrando,3957.0,0.00042163053061088795
Ariccia,18199.0,0.0019391594709597044
Velezzo Lomellina,101.0,1.0761860902628175e-05
Marsciano,18817.0,0.0020050092733143996
Valdina,1334.0,0.00014214180637728697
Rosa,14328.0,0.001526692505077787
Camaiore,32518.0,0.003464892998333297
Boccioleto,211.0,2.248269950945094e-05
Trigolo,1756.0,0.00018710720539618885
Buseto Palizzolo,3042.0,0.0003241344640177714
Santa Severina,2196.0,0.00023399055982347992
Sona,17074.0,0.0018192872579353807
Grugliasco,37804.0,0.0040281325699302525
Fuscaldo,8108.0,0.0008639323584010816
Cusano Milanino,18759.0,0.0019988291947762565
Montescaglioso,10092.0,0.0010753336656368667
Lesina,6327.0,0.0006741613260487966
Montalbano Elicona,2378.0,0.00025338322006385937
Ostuni,31709.0,0.0033786915580340275
Saronno,38902.0,0.004145127849841992
Cantagallo,3114.0,0.0003318062856513281
Sardigliano,447.0,4.762922597499796e-05
Melicucco,5046.0,0.0005376668328184334
Varzo,2108.0,0.0002246138889380217
Budoia,2579.0,0.0002748003887908719
Amato,843.0,8.98242449595599e-05
Montaldo Scarampi,793.0,8.449659104736774e-05
Castegnero,2935.0,0.0003127332846456801
Tribiano,3422.0,0.0003646246337504318
Pedemonte,763.0,8.129999870005245e-05
Monte Vidon Corrado,750.0,7.991480868288248e-05
Villanova d'Albenga,2626.0,0.00027980838346833254
Cusano Mutri,4164.0,0.00044368701780736356
Casorate Sempione,5806.0,0.0006186471722837543
Isola di Capo Rizzuto,16331.0,0.0017401183208002051
Novellara,13541.0,0.0014428352324998824
Cavalese,3993.0,0.00042546644142766633
Floresta,509.0,5.4235516826116244e-05
Vietri sul Mare,8073.0,0.0008602030006625471
Scandolara Ripa d'Oglio,596.0,6.350563463333061e-05
Lomazzo,9343.0,0.0009955254100322281
Scandicci,49624.0,0.00528758995477248
Ortignano Raggiolo,888.0,9.461913348053286e-05
Briga Novarese,3019.0,0.000321683743218163
Corte Palasio,1553.0,0.00016547693051268867
Calascibetta,4575.0,0.00048748033296558315
Grantorto,4675.0,0.0004981356407899674
Montemilone,1712.0,0.00018241886995345975
Meolo,6456.0,0.0006879066731422524
Guidonia Montecelio,83211.0,0.008866388193748445
Figline Vegliaturo,1127.0,0.0001200853191808114
San Severino Marche,12965.0,0.0013814606594314285
Orani,2978.0,0.00031731506701016535
Broni,9283.0,0.0009891322253375975
Matrice,1105.0,0.00011774115145944686
Grezzana,10789.0,0.0011496011611728254
Talmassons,4127.0,0.00043974455391234134
Enna,27876.0,0.0029702736091253763
Masserano,2178.0,0.00023207260441509073
Sacco,540.0,5.7538662251675384e-05
Chiesa in Valmalenco,2547.0,0.0002713906902870689
Borgonovo Val Tidone,7774.0,0.0008283436302676379
Marcallo con Casone,6108.0,0.0006508262019133949
Torrenova,4252.0,0.00045306368869282176
Chiaravalle Centrale,5816.0,0.0006197127030661927
Sant'Elpidio a Mare,16998.0,0.0018111892239888487
Bova Marina,4155.0,0.000442728040103169
Sepino,2002.0,0.0002133192626441743
Stilo,2654.0,0.0002827918696591601
Borgo Valsugana,6906.0,0.0007358555583519819
Trana,3877.0,0.0004131062843513805
Torre de' Negri,349.0,3.7187024307101316e-05
Castelbottaccio,335.0,3.569528121168751e-05
Travedona-Monate,4069.0,0.00043356447537419845
Macugnaga,586.0,6.244010385089218e-05
Sirtori,2918.0,0.0003109218823155348
San Giuliano Terme,31066.0,0.0033101779287232364
San Cosmo Albanese,627.0,6.680878005888976e-05
Monastier di Treviso,4149.0,0.0004420887216337059
Sassoferrato,7499.0,0.000799041533750581
Farindola,1569.0,0.00016718177976459016
Desenzano del Garda,27050.0,0.0028822607664959615
Villadossola,6725.0,0.0007165694511898462
Castelleone di Suasa,1718.0,0.0001830581884229228
Fiumedinisi,1513.0,0.00016121480738293491
Gragnano Trebbiense,4461.0,0.000475333282045785
Altidona,3268.0,0.00034821545970087993
Macerata Feltria,2029.0,0.00021619619575675807
Ari,1146.0,0.00012210982766744442
Castelnuovo di Val di Cecina,2284.0,0.00024336723070893812
Terrazzo,2255.0,0.00024027719143986668
Amaro,840.0,8.950458572482838e-05
Sermide e Felonica,6227.0,0.0006635060182244123
Ameno,859.0,9.15290942114614e-05
Ceglie Messapica,20089.0,0.0021405447888405683
Arpaia,2047.0,0.00021811415116514726
San Potito Sannitico,1952.0,0.00020799160873198215
Castelnuovo di Farfa,1032.0,0.0001099627767476463
Piozzano,645.0,6.872673546727894e-05
Appignano del Tronto,1858.0,0.00019797561937706087
La Salle,2076.0,0.0002212041904342187
Giovo,2502.0,0.00026659580176609596
Piana di Monte Verna,2380.0,0.0002535963262203471
Varano de' Melegari,2680.0,0.0002855622496935001
Padru,2139.0,0.00022791703436358084
Corsione,224.0,2.38678895266209e-05
Ospitale di Cadore,315.0,3.356421964681064e-05
Valperga,3191.0,0.000340010872676104
Sant'Egidio del Monte Albino,8817.0,0.0009394784908759665
Scandiano,25071.0,0.0026713922246513954
Cortino,652.0,6.947260701498584e-05
Tarsia,2117.0,0.0002255728666422163
Scido,955.0,0.00010175818972287036
Spadola,869.0,9.259462499389984e-05
Carentino,313.0,3.3351113490322954e-05
Trivigliano,1682.0,0.00017922227760614444
San Cipriano Picentino,6601.0,0.0007033568694876097
Fermignano,8624.0,0.0009189137467749047
Santa Maria di Licodia,7377.0,0.000786042058204832
Molini di Triora,608.0,6.478427157225673e-05
Villa Collemandina,1358.0,0.0001446990802551392
Monteforte d'Alpone,8505.0,0.0009062339304638874
Castelgomberto,6132.0,0.0006533834757912472
Sciacca,41110.0,0.004380397046604399
San Giovanni Teatino,13289.0,0.0014159838567824338
Santa Cristina e Bissone,2032.0,0.0002165158549914896
Varese,79333.0,0.008453175356318822
Mornico al Serio,2866.0,0.0003053811222468549
Masullas,1122.0,0.0001195525537895922
Cagnano Amiterno,1439.0,0.00015332987959289053
Podenzana,2150.0,0.00022908911822426312
Cella Monte,512.0,5.4555176060847774e-05
Cernusco Lombardone,3870.0,0.0004123604128036736
Monte Marenzo,1993.0,0.0002123602849399797
Acquaviva Picena,3888.0,0.0004142783682120628
Genivolta,1180.0,0.0001257326323277351
Rocchetta Ligure,205.0,2.184338103998788e-05
Bellona,5864.0,0.0006248272508218972
Cassano Magnago,21565.0,0.002297817132328481
Marsicovetere,5420.0,0.0005775176840816307
Volpedo,1229.0,0.00013095373316168344
Cernobbio,6802.0,0.0007247740382146222
Giustino,750.0,7.991480868288248e-05
San Martino Buon Albergo,14491.0,0.0015440606568315335
Dumenza,1464.0,0.0001559937065489866
Buggiano,8699.0,0.0009269052276431929
Sarroch,5251.0,0.0005595102138584212
Castiglione a Casauria,865.0,9.216841268092446e-05
Cervarese Santa Croce,5683.0,0.0006055411436597615
Martignana di Po,2002.0,0.0002133192626441743
Aldeno,3045.0,0.0003244541232525029
Pietracatella,1417.0,0.00015098571187152597
Monteflavio,1375.0,0.00014651048258528456
Propata,156.0,1.6622280206039555e-05
Santo Stefano di Sessanio,115.0,1.225360399804198e-05
Borgetto,7189.0,0.0007660100794949896
Cassino,33703.0,0.003591158396052251
Bolsena,4147.0,0.00044187561547721823
Castelletto Merli,484.0,5.1571689870020164e-05
Compiano,1128.0,0.00012019187225905526
Ponzone,1046.0,0.0001114545198430601
Baia e Latina,2238.0,0.00023846578910972132
San Benedetto dei Marsi,3899.0,0.00041545045207274506
Sant'Agata Bolognese,7154.0,0.000762280721756455
Verduno,569.0,6.0628701520746844e-05
Bossico,980.0,0.00010442201667896645
Feroleto della Chiesa,1745.0,0.00018593512153550657
Motta Visconti,7647.0,0.0008148113893306698
Calvenzano,4122.0,0.0004392117885211221
Scala Coeli,1105.0,0.00011774115145944686
Aiello del Friuli,2252.0,0.00023995753220513514
Giurdignano,1957.0,0.00020852437412320136
Cabiate,7450.0,0.0007938204329166326
Villafranca Padovana,9890.0,0.0010538099438316103
Magliano Romano,1465.0,0.00015610025962723044
Bagni di Lucca,6152.0,0.0006555145373561241
Castelfranco Piandisco,9513.0,0.0010136394333336814
Catania,290678.0,0.030972635677763885
Boville Ernica,8844.0,0.0009423554239885502
Montegallo,545.0,5.807142764289461e-05
Castelluccio Inferiore,2159.0,0.0002300480959284577
Pescopennataro,289.0,3.0793839612470716e-05
Pagliara,1240.0,0.0001321258170223657
Pezzolo Valle Uzzone,358.0,3.8146002011295905e-05
Garbagnate Monastero,2451.0,0.00026116159477565997
San Marco Evangelista,6343.0,0.0006758661753006981
Lessona,2773.0,0.0002954716859701775
Abbadia Cerreto,295.0,3.1433158081933776e-05
Malagnino,1608.0,0.00017133734981610005
Monte Sant'Angelo,12990.0,0.0013841244863875247
Laces,5162.0,0.0005500269898947192
Medea,978.0,0.00010420891052247876
Brinzio,874.0,9.312739038511905e-05
San Polo d'Enza,5961.0,0.00063516289941155
Zogno,9067.0,0.0009661167604369273
Caselle in Pittari,1971.0,0.00021001611721861517
Staranzano,7219.0,0.0007692066718423048
Chiusano di San Domenico,2313.0,0.00024645726997800957
Imer,1200.0,0.00012786369389261197
Sarcedo,5313.0,0.0005661165047095395
Maglione,463.0,4.933407522689945e-05
Melissa,3631.0,0.00038689422710339505
Baldissero d'Alba,1089.0,0.00011603630220754536
Romans d'Isonzo,3696.0,0.00039382017718924485
Cassola,14210.0,0.0015141192418450134
Sesto al Reghena,6365.0,0.0006782103430220626
Avellino,54706.0,0.005829092698407692
Onore,853.0,9.088977574199834e-05
Vicolungo,878.0,9.355360269809442e-05
Vinci,14296.0,0.001523282806573984
San Damiano al Colle,711.0,7.575923863137259e-05
Sant'Angelo all'Esca,847.0,9.025045727253528e-05
San Gregorio d'Ippona,2453.0,0.00026137470093214765
San Calogero,4471.0,0.00047639881282822346
Pino d'Asti,226.0,2.4080995683108587e-05
Spigno Saturnia,2908.0,0.00030985635153309637
Villa Poma,2046.0,0.00021800759808690342
Masainas,1342.0,0.00014299423100323772
San Teodoro,4630.0,0.0004933407522689945
Rapolano Terme,5121.0,0.0005456583136867216
Arborea,4034.0,0.0004298351176356639
Riva Presso Chieri,4379.0,0.00046659592962978986
Blello,72.0,7.671821633556718e-06
Sovramonte,1483.0,0.00015801821503561963
Civitella in Val di Chiana,9117.0,0.0009714444143491195
Muccia,928.0,9.888125661028659e-05
Paladina,3993.0,0.00042546644142766633
Formazza,446.0,4.7522672896754115e-05
Ottobiano,1148.0,0.00012232293382393212
Fai della Paganella,899.0,9.579121734121514e-05
La Thuile,791.0,8.428348489088006e-05
Pallare,940.0,0.00010015989354921272
Torrioni,559.0,5.956317073830841e-05
Mappano,7012.0,0.0007471501846458293
Gargazzone,1694.0,0.00018050091454507056
Castel Castagna,494.0,5.2637220652458596e-05
Vendrogno,316.0,3.367077272505448e-05
Oltrona di San Mamette,2293.0,0.00024432620841313273
Cremia,718.0,7.65051101790795e-05
Acciano,339.0,3.6121493524662884e-05
Cuccaro Vetere,576.0,6.137457306845375e-05
Taggia,14012.0,0.0014930217323527325
Lasnigo,469.0,4.9973393696362516e-05
Feltre,20741.0,0.002210017395855554
Bagnaria,685.0,7.298885859703266e-05
Belvedere Ostrense,2290.0,0.00024400654917840117
Milo,1066.0,0.00011358558140793696
Dosolo,3448.0,0.00036739501378477173
Pietramontecorvino,2740.0,0.00029195543438813066
Episcopia,1450.0,0.0001545019634535728
Revine Lago,2269.0,0.00024176893453528047
Gaggiano,8974.0,0.0009562073241602499
Carpignano Salentino,3839.0,0.0004090572673781145
Desana,1062.0,0.00011315936909496159
Castelletto d'Orba,2105.0,0.00022429422970329018
